1,The third-rate mind is only happy when it is thinking with the majority. The second-rate mind is only happy when it is thinking with the minority. The first-rate mind is only happy when it is thinking.,A. A. Milne
2,History teaches us that men and nations behave wisely once they have exhausted all other alternatives.,Abba Eban
3,"How many legs does a dog have, if you call the tail a leg? Four. Calling a tail a leg doesn't make it a leg.",Abraham Lincoln
4,"Nearly all men can stand adversity, but if you want to test a man's character, give him power.",Abraham Lincoln
5,"When I do good, I feel good; when I do bad, I feel bad, and that is my religion.",Abraham Lincoln
6,Better to remain silent and be thought a fool than to speak out and remove all doubt.,Abraham Lincoln
7,"You can fool some of the people all of the time, and all of the people some of the time, but you can not fool all of the people all of the time.",Abraham Lincoln
8,"To the man who only has a hammer, everything he encounters begins to look like a nail.",Abraham Maslow
9,My definition of a free society is a society where it is safe to be unpopular.,Adlai E. Stevenson Jr.
10,I use emotion for the many and reserve reason for the few.,Adolf Hitler
11,It is always more difficult to fight against faith than against knowledge.,Adolf Hitler
12,"Do not look where you fell, but where you slipped.",African proverb
13,Do you realize if it weren't for Edison we'd be watching TV by candlelight?,Al Boliska
14,Any company large enough to have a research lab is too large to listen to it.,Alan Kay
15,Education is what remains after one has forgotten what one has learned in school.,Albert Einstein
16,Insanity: doing the same thing over and over again and expecting different results.,Albert Einstein
17,Logic will get you from A to B. Imagination will take you everywhere.,Albert Einstein
18,"Not everything that can be counted counts, and not everything that counts can be counted.",Albert Einstein
19,A clever person solves a problem. A wise person avoids it.,Albert Einstein
20,"Imagination is more important than knowledge. For knowledge is limited to all we now know and understand, while imagination embraces the entire world, and all there ever will be to know and understand.",Albert Einstein
21,"When you look at yourself from a universal standpoint, something inside always reminds or informs you that there are bigger and better things to worry about.",Albert Einstein
22,The only thing that interferes with my learning is my education.,Albert Einstein
23,The difference between genius and stupidity is that genius has its limits.,Albert Einstein
24,The person who reads too much and uses his brain too little will fall into lazy habits of thinking.,Albert Einstein
25,Time and space are modes by which we think and not conditions in which we live.,Albert Einstein 
26,"When you sit with a nice girl for two hours, you think it's only a minute. But when you sit on a hot stove for a minute, you think it's two hours. That's  relativity.",Albert Einstein  
27,"There are people who, instead of listening to what is being said to them, are already listening to what they are going to say themselves.",Albert Guinon
28,"When everyone is against you, it means that you are absolutely wrong-- or absolutely right.",Albert Guinon
29,An intellectual is a person who has discovered something more interesting than sex.,Aldous Huxley
30,"Blessed is he who expects nothing, for he shall never be disappointed.",Alexander Pope
31,Do not confuse motion and progress. A rocking horse keeps moving but does not make any progress.,Alfred A. Montapert
32,It is easier to fight for one's principles than to live up to them.,Alfred Adler
33,The point of quotations is that one can use another's words to be insulting.,Amanda Cross
34,"Acquaintance, n.: A person whom we know well enough to borrow from, but not well enough to lend to.",Ambrose Bierce
35,"Courage is not the absence of fear, but rather the judgement that something else is more important than fear.",Ambrose Redmoon
36,We don't see things as they are. We see things as we are.,Anais Nin
37,It is better to fail at your own life than to succeed at someone else's.,Andr̩ Gide
38,People cannot discover new lands until they have the courage to lose sight of the shore.,Andr̩ Gide
39,Believe those who are seeking the truth. Doubt those who find it.,Andr̩ Gide
40,It is bad luck to be superstitious.,Andrew W. Mathis
41,If the lessons of history teach us anything it is that nobody learns the lessons that history teaches us.,Anon
42,"Perfection is achieved, not when there is nothing more to add, but when there is nothing left to take away.",Antoine de Saint-Exup̩ry
43,"What lies in our power to do, lies in our power not to do.",Aristotle
44,It is the mark of an educated mind to be able to entertain a thought without accepting it.,Aristotle
45,"We are what we repeatedly do; excellence, then, is not an act but a habit.",Aristotle
46,Talent hits a target no one else can hit; Genius hits a target no one else can see.,Arthur Schopenhauer
47,"All truth passes through three stages. First, it is ridiculed. Second, it is violently opposed. Third, it is accepted as being self-evident.",Arthur Schopenhauer
48,"Every nation ridicules other nations, and all are right.",Arthur Schopenhauer
49,I'd rather live with a good question than a bad answer.,Aryeh Frimer
50,The Argument from Intimidation is a confession of intellectual impotence.,Ayn Rand
51,The real problem is not whether machines think but whether men do.,B. F. Skinner
52,A wise man gets more use from his enemies than a fool from his friends.,Baltasar Gracian
53,"Good judgment comes from experience, and experience comes from bad judgment.",Barry LePatner
54,A government that is big enough to give you all you want is big enough to take it all away.,Thomas Jefferson
55,Do not seek to follow in the footsteps of the men of old; seek what they sought. ,Basho
56,Trying to determine what is going on in the world by reading newspapers is like trying to tell the time by watching the second hand of a clock.,Ben Hecht
